wl,n,k
0.25,3.04958,1.063965
0.255,3.079132,0.990757
0.26,3.10252,0.917045
0.265,3.119809,0.843424
0.27,3.13113,0.770466
0.275,3.136674,0.698714
0.28,3.136685,0.628673
0.285,3.131452,0.56081
0.29,3.121301,0.495546
0.295,3.106589,0.43326
0.3,3.087695,0.374286
0.305,3.065014,0.318917
0.31,3.038957,0.267408
0.315,3.009942,0.219978
0.32,2.9784,0.176816
0.325,2.944769,0.138083
0.33,2.909504,0.103919
0.335,2.873078,0.074443
0.34,2.836018,0.050857
0.345,2.798877,0.034999
0.35,2.762242,0.024358
0.355,2.726899,0.017131
0.36,2.69398,0.012164
0.365,2.665907,0.008709
0.37,2.642547,0.006284
0.375,2.622007,0.004572
0.38,2.603584,0.003352
0.385,2.586864,0.002478
0.39,2.571562,0.001845
0.395,2.557471,0.001384
0.4,2.544428,0.001046
0.405,2.532304,0.000795
0.41,2.520995,0.000609
0.415,2.510414,0.000469
0.42,2.500485,0.000364
0.425,2.491147,0.000284
0.43,2.482346,0.000223
0.435,2.474034,0.000176
0.44,2.46617,0.00014
0.445,2.458718,0.000111
0.45,2.451645,0.000089
0.455,2.444923,0.000072
0.46,2.438526,0.000058
0.465,2.43243,0.000047
0.47,2.426616,0.000039
0.475,2.421063,0.000032
0.48,2.415755,0.000026
0.485,2.410676,0.000022
0.49,2.405812,0.000018
0.495,2.40115,0.000015
0.5,2.396677,0.000013
0.505,2.392383,0.00001
0.51,2.388258,0.000009
0.515,2.384291,0.000007
0.52,2.380475,0.000006
0.525,2.376801,0.000005
0.53,2.373261,0.000005
0.535,2.369849,0.000004
0.54,2.366559,0.000003
0.545,2.363383,0.000003
0.55,2.360317,0.000003
0.555,2.357355,0.000002
0.56,2.354492,0.000002
0.565,2.351724,0.000002
0.57,2.349046,0.000001
0.575,2.346454,0.000001
0.58,2.343944,0.000001
0.585,2.341513,0.000001
0.59,2.339157,0.000001
0.595,2.336873,0.000001
0.6,2.334657,0.000001
0.605,2.332508,0.000001
0.61,2.330422,0.000001
0.615,2.328396,0
0.62,2.326429,0
0.625,2.324518,0
0.63,2.32266,0
0.635,2.320854,0
0.64,2.319098,0
0.645,2.317389,0
0.65,2.315726,0
0.655,2.314108,0
0.66,2.312532,0
0.665,2.310998,0
0.67,2.309503,0
0.675,2.308046,0
0.68,2.306626,0
0.685,2.305242,0
0.69,2.303892,0
0.695,2.302575,0
0.7,2.301291,0
0.705,2.300037,0
0.71,2.298814,0
0.715,2.297619,0
0.72,2.296453,0
0.725,2.295313,0
0.73,2.2942,0
0.735,2.293113,0
0.74,2.29205,0
0.745,2.291011,0
0.75,2.289996,0
0.755,2.289002,0
0.76,2.288031,0
0.765,2.287081,0
0.77,2.286151,0
0.775,2.285241,0
0.78,2.284351,0
0.785,2.283479,0
0.79,2.282626,0
0.795,2.28179,0
0.8,2.280972,0
0.805,2.28017,0
0.81,2.279384,0
0.815,2.278615,0
0.82,2.277861,0
0.825,2.277121,0
0.83,2.276397,0
0.835,2.275686,0
0.84,2.27499,0
0.845,2.274306,0
0.85,2.273636,0
0.855,2.272979,0
0.86,2.272334,0
0.865,2.271701,0
0.87,2.27108,0
0.875,2.270471,0
0.88,2.269872,0
0.885,2.269285,0
0.89,2.268708,0
0.895,2.268142,0
0.9,2.267586,0
