wl,n cold,k cold,n hot,k hot
0.3,1.52,1.12,1.52,0.99
0.31,1.56,1.17,1.53,1.02
0.32,1.61,1.22,1.55,1.06
0.33,1.66,1.25,1.58,1.09
0.34,1.72,1.28,1.62,1.12
0.35,1.79,1.29,1.66,1.14
0.36,1.85,1.31,1.7,1.16
0.37,1.91,1.31,1.74,1.17
0.38,1.97,1.32,1.78,1.18
0.39,2.03,1.31,1.83,1.18
0.4,2.09,1.31,1.87,1.18
0.41,2.15,1.29,1.92,1.18
0.42,2.21,1.27,1.96,1.17
0.43,2.27,1.25,2,1.16
0.44,2.32,1.21,2.05,1.14
0.45,2.36,1.18,2.09,1.12
0.46,2.4,1.14,2.12,1.09
0.47,2.43,1.1,2.15,1.05
0.48,2.45,1.06,2.18,1.01
0.49,2.47,1.02,2.19,0.97
0.5,2.49,0.99,2.2,0.92
0.51,2.5,0.95,2.2,0.88
0.52,2.51,0.92,2.2,0.84
0.53,2.51,0.89,2.18,0.8
0.54,2.51,0.86,2.17,0.76
0.55,2.51,0.83,2.14,0.73
0.56,2.51,0.81,2.11,0.7
0.57,2.51,0.79,2.08,0.68
0.58,2.5,0.77,2.05,0.67
0.59,2.5,0.75,2.01,0.66
0.6,2.49,0.74,1.98,0.65
0.61,2.49,0.73,1.94,0.65
0.62,2.48,0.72,1.9,0.66
0.63,2.48,0.71,1.87,0.67
0.64,2.47,0.7,1.83,0.68
0.65,2.47,0.7,1.8,0.71
0.66,2.46,0.69,1.77,0.73
0.67,2.46,0.69,1.75,0.76
0.68,2.45,0.69,1.74,0.79
0.69,2.45,0.69,1.73,0.83
0.7,2.45,0.69,1.72,0.86
0.71,2.45,0.69,1.73,0.9
0.72,2.45,0.7,1.74,0.92
0.73,2.45,0.7,1.76,0.94
0.74,2.45,0.7,1.78,0.95
0.75,2.46,0.7,1.79,0.96
0.76,2.46,0.71,1.8,0.95
0.77,2.47,0.71,1.81,0.94
0.78,2.47,0.72,1.81,0.93
0.79,2.48,0.72,1.8,0.92
0.8,2.49,0.72,1.79,0.91
0.81,2.49,0.72,1.77,0.91
0.82,2.5,0.73,1.75,0.9
0.83,2.51,0.73,1.73,0.91
0.84,2.52,0.73,1.71,0.91
0.85,2.53,0.73,1.68,0.92
0.86,2.54,0.73,1.66,0.93
0.87,2.55,0.73,1.64,0.94
0.88,2.56,0.72,1.61,0.95
0.89,2.57,0.72,1.59,0.97
0.9,2.58,0.72,1.57,0.99
0.91,2.59,0.72,1.55,1.01
